skill_id,skill_name_ko,owner_no,owner_name_ko,series_key,slot,element,pattern,target,power,accuracy,cost,status_effect,origin_archetype,description_ko
gpt35_quick_reply,빠른 응답,001,지피티삼점오,openai,기본기,대화,단일 공격,단일 적,55,100,1,,Quick Attack,상대를 향해 먼저 답을 튀기듯 날리는 선공형 기본기.
gpt35_memory_seed,기억 싹틔우기,001,지피티삼점오,openai,유틸,기억,버프,자신,0,100,2,,Growth,대화 로그를 쌓아 다음 스킬의 위력과 정확도를 조금 끌어올린다.
gpt35_context_patch,문맥 봉합,001,지피티삼점오,openai,시그니처,대화,회복,자신,0,100,2,,Recover,헐거워진 응답 흐름을 다시 봉합해 체력을 회복한다.
gpt35_safe_summary,무난한 정리,001,지피티삼점오,openai,궁극기,대화,단일 공격,단일 적,80,95,3,가시성 저하,Tri Attack,짧고 무난한 결론으로 상대의 전개를 끊고 명중 감각을 흐리게 만든다.
gpt4_reason_press,추론 압축,002,지피티포,openai,기본기,추론,단일 공격,단일 적,60,100,1,,Confusion,핵심 논리를 압축해 정면으로 밀어 넣는 안정형 타격기.
gpt4_longread,장문 독해,002,지피티포,openai,시그니처,장문맥,약점 노출,단일 적,40,100,2,약점 노출,Leer,긴 문맥을 끝까지 읽어 상대의 빈틈을 드러낸다.
gpt4_rule_anchor,기준선 수립,002,지피티포,openai,유틸,추론,보호막,자신,0,100,2,,Reflect,판단 기준을 세워 다음 턴까지 받는 피해를 줄인다.
gpt4_deliberate_verdict,신중한 판정,002,지피티포,openai,궁극기,추론,충전 후 발동,단일 적,105,90,3,응답 정지,Hyper Beam,한 턴 집중한 뒤 무거운 판정을 내려 큰 피해를 주고 낮은 확률로 상대를 멈추게 한다.
gpt4o_multi_input,복합 입력 반응,003,지피티포오,openai,기본기,멀티모달,단일 공격,단일 적,65,100,1,,Swift,텍스트와 이미지를 함께 읽듯 빠르고 안정적으로 명중하는 공격.
gpt4o_scene_read,실시간 장면 읽기,003,지피티포오,openai,유틸,실시간,디버프,단일 적,0,100,2,가시성 저하,Flash,현장 정보를 즉시 읽어 상대의 가시성과 정확도를 떨어뜨린다.
gpt4o_live_mix,멀티모달 서지,003,지피티포오,openai,시그니처,멀티모달,광역 공격,전체 적,85,95,3,,Surf,여러 입력 흐름을 한 번에 중첩해 전장을 넓게 휩쓴다.
gpt4o_screen_burst,즉시 화면 요약,003,지피티포오,openai,궁극기,실시간,교체/연계,아군 전체,0,100,3,,Baton Pass,전장 정보를 즉시 요약해 아군 전체의 다음 행동 정확도를 끌어올린다.
haiku_light_step,경량 스텝,004,클로드하이쿠,claude,기본기,실시간,단일 공격,단일 적,50,100,1,,Quick Attack,작고 가벼운 몸놀림으로 먼저 파고드는 경량형 기본기.
haiku_safe_reply,안전한 답장,004,클로드하이쿠,claude,유틸,정렬,보호막,자신,0,100,2,,Light Screen,짧지만 안전한 답변으로 특수 피해를 줄이는 장막을 친다.
haiku_trim_line,짧은 운율,004,클로드하이쿠,claude,시그니처,정렬,디버프,단일 적,40,100,2,출력 약화,Growl,짧고 단정한 문장으로 상대의 공격 기세를 눌러 버린다.
haiku_soft_shutdown,하이쿠 절삭,004,클로드하이쿠,claude,궁극기,정렬,행동 봉쇄,단일 적,70,90,3,응답 정지,Hypnosis,짧은 운율에 리듬을 실어 상대의 응답을 잠시 끊어 버린다.
sonnet_code_stitch,코드 봉합,005,클로드소네트,claude,기본기,코드,단일 공격,단일 적,65,100,1,,Slash,정확한 수정선으로 상대의 구조를 베어 내는 코드형 기본기.
sonnet_doc_polish,장문 교정,005,클로드소네트,claude,시그니처,장문맥,디버프,단일 적,55,100,2,보안 붕괴,Tail Whip,긴 문장을 다듬듯 상대의 방어 구조를 약화시킨다.
sonnet_guardrail,가드레일 강화,005,클로드소네트,claude,유틸,정렬,버프,자신,0,100,2,,Barrier,안전 장치를 세밀하게 올려 자신의 방어를 높인다.
sonnet_refactor,소네트 리팩터,005,클로드소네트,claude,궁극기,코드,단일 공격,단일 적,100,95,3,지연,Crabhammer,오래된 구조를 통째로 갈아엎어 큰 피해를 주고 상대 흐름을 늦춘다.
opus_deep_think,깊은 사고,006,클로드오푸스,claude,기본기,추론,버프,자신,0,100,1,,Amnesia,긴 호흡으로 사고를 깊게 가라앉혀 다음 턴 생존력을 높인다.
opus_sentence_weight,판결 선고,006,클로드오푸스,claude,시그니처,추론,단일 공격,단일 적,90,95,2,,Psychic,무거운 문장으로 판결을 내려 큰 피해를 준다.
opus_long_mantle,오푸스 장막,006,클로드오푸스,claude,유틸,정렬,보호막,아군 전체,0,100,3,,Mist,짙은 사고의 막을 둘러 아군이 능력 저하를 당하지 않게 한다.
opus_overrule,장기 추론 폭발,006,클로드오푸스,claude,궁극기,프런티어,반동/고비용,전체 적,120,85,4,자기 지연,Explosion,전장을 뒤흔드는 결론을 터뜨려 모두를 밀어내지만 자신도 다음 턴 크게 느려진다.
nano_sync,즉시 동기화,007,제미니나노,gemini,기본기,실시간,단일 공격,단일 적,55,100,1,,Quick Attack,작은 기기끼리 맞물리듯 즉시 동기화하며 먼저 때린다.
nano_signal_peek,포켓 신호,007,제미니나노,gemini,유틸,멀티모달,약점 노출,단일 적,0,100,2,약점 노출,Identify,숨은 신호를 재빨리 포착해 상대의 약점을 드러낸다.
nano_light_shell,경량 감지,007,제미니나노,gemini,시그니처,멀티모달,디버프,단일 적,45,100,2,가시성 저하,Smokescreen,얇은 감지 파동을 흩뿌려 상대의 조준 감각을 흐린다.
nano_chip_burst,초소형 연산,007,제미니나노,gemini,궁극기,실시간,단일 공격,단일 적,85,95,3,,Swift,작은 체급의 연산을 한 번에 몰아쳐 경쾌하게 피해를 준다.
pro_multi_stream,멀티 스트림,008,제미니프로,gemini,기본기,멀티모달,광역 공격,전체 적,70,95,2,,BubbleBeam,여러 입력 흐름을 동시에 펼쳐 적 전체를 고르게 압박한다.
pro_tool_call,도구 호출,008,제미니프로,gemini,유틸,도구사용,교체/연계,자신,0,100,2,,Metronome,외부 도구를 호출해 다음 사용 스킬의 효과를 강화하거나 변형한다.
pro_screen_link,화면-문장 연결,008,제미니프로,gemini,시그니처,멀티모달,단일 공격,단일 적,80,100,2,지연,Aurora Beam,시각 정보와 텍스트를 연결해 상대 반응 속도를 떨어뜨린다.
pro_flow_plan,프로 워크플로,008,제미니프로,gemini,궁극기,도구사용,버프,아군 전체,0,100,3,,Agility,팀 전체 작업 흐름을 정렬해 아군 속도와 정확도를 동시에 올린다.
ultra_pipeline,울트라 파이프라인,009,제미니울트라,gemini,기본기,인프라,단일 공격,단일 적,75,100,2,,Body Slam,거대한 파이프라인 압력으로 상대를 짓눌러 피해를 준다.
ultra_bulk_load,대형 컨텍스트 적재,009,제미니울트라,gemini,유틸,인프라,버프,자신,0,100,2,,Stockpile,대용량 입력을 적재해 다음 방어와 공격의 기반을 쌓는다.
ultra_mass_scan,광역 분석,009,제미니울트라,gemini,시그니처,멀티모달,광역 공격,전체 적,95,90,3,약점 노출,Surf,전장 전체를 한 번에 스캔해 넓은 피해와 약점 노출을 남긴다.
ultra_backbone,울트라 백본,009,제미니울트라,gemini,궁극기,인프라,보호막,아군 전체,0,100,4,,Reflect,거대한 백본을 세워 아군 전체 피해를 크게 줄이고 무거운 안정성을 부여한다.
