skill_no,skill_name_ko,origin_move_en,origin_type_ko,origin_category_ko,origin_power,origin_accuracy,origin_pp,origin_effect_en,ai_element,ai_pattern,ai_concept_ko,ai_keyword_ko,ai_effect_ko,ai_mapping_memo_ko,ai_status_family_ko,ai_status_element_ko
001,기억 흡수,Absorb,풀,특수,20,100,25,User recovers half the HP inflicted on opponent.,메모리,흡수,메모리 관리,컨텍스트 윈도우,준 피해의 절반만큼 자신을 회복한다.,피해 흡수 / 메모리 관리 / 컨텍스트 윈도우,회복,메모리
002,오염 산성,Acid,독,특수,40,100,30,May lower opponent's Special Defense.,정렬,단일 공격,안전·정렬,안전 필터,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 안전·정렬 / 안전 필터,노출,검색
003,오염 산성 갑주,Acid Armor,독,변화,—,—,20,Sharply raises user's Defense.,정렬,버프,안전·정렬,가드레일,자신의 핵심 성능을 크게 끌어올린다.,자가 강화 / 안전·정렬 / 가드레일,증폭,학습
004,추론 가속,Agility,에스퍼,변화,—,—,30,Sharply raises user's Speed.,시스템,버프,비용·성능 최적화,응답 속도,자신의 핵심 성능을 크게 끌어올린다.,속도 강화 / 비용·성능 최적화 / 응답 속도,증폭,학습
005,추론 망각,Amnesia,에스퍼,변화,—,—,20,Sharply raises user's Special Defense.,메모리,버프,메모리 관리,메모리 압축,자신의 핵심 성능을 크게 끌어올린다.,특수 방어 강화 / 메모리 관리 / 메모리 압축,증폭,학습
006,정렬 오로라 빔,Aurora Beam,얼음,특수,65,100,20,May lower opponent's Attack.,정렬,단일 공격,안전·정렬,정책 집행,피해와 함께 추가 상태이상을 남길 가능성이 있다.,상대 약화 / 안전·정렬 / 정책 집행,없음,없음
007,프롬프트 연사,Barrage,노말,물리,15,85,20,Hits 2-5 times in one turn.,대화,연타,프롬프트 엔지니어링,시스템 프롬프트,한 번에 여러 차례 연속 타격한다.,다단 히트 / 프롬프트 엔지니어링 / 시스템 프롬프트,없음,없음
008,추론 장벽,Barrier,에스퍼,변화,—,—,20,Sharply raises user's Defense.,정렬,보호막,안전·정렬,안전 장치,자신의 핵심 성능을 크게 끌어올린다.,방어 장벽 전개 / 안전·정렬 / 안전 장치,보호,정렬
009,프롬프트 비축,Bide,노말,물리,—,—,10,User takes damage for two turns then strikes back double.,추론,충전 후 발동,추론 최적화,판정 루프,원작 기술의 역할을 참고해 전투 리듬을 조정하는 재해석 스킬이다.,피해 축적 후 반격 / 추론 최적화 / 판정 루프,없음,없음
010,프롬프트 속박,Bind,노말,물리,15,85,20,"Traps opponent, damaging them for 4-5 turns.",에이전트,행동 봉쇄,에이전트 오케스트레이션,실행 상태 관리,상대를 묶어 두고 여러 턴 지속 피해를 준다.,상대 속박 / 에이전트 오케스트레이션 / 실행 상태 관리,속박,에이전트
