id,weight,phase,importance,commentary_role,skill_pattern,skill_family,status_name,momentum,length_band,usage_bucket,damage_band,hp_band,tags,text
scene-after-001,3,기,low|mid,setup|transition,*,*,*,*,medium,fresh|repeat,*,high|mid,*,그래서 지금은 숫자보다 먼저 흐름을 봐야 해요. 누가 먼저 자기 템포로 전투를 끌고 가는지가 더 중요하거든요.
scene-after-002,3,승|전,mid|high,transition|highlight,*,*,*,left|right,medium|long,*,small|medium|big,mid|low,*,중반부터는 이런 한 번이 오래 남아요. 방금처럼 리듬이 틀어지면 다음 자세까지 같이 무거워져서 교환 하나가 연속 손해로 이어질 수 있어요.
scene-after-003,2,결,high,climax,*,*,*,*,long,*,medium|big,low|critical,*,이제는 진짜 마무리 구간이에요. 다음 한 번은 단순한 교환이 아니라 승부를 닫는 장면이 될 수도 있어서 숨소리까지 또렷하게 들리는 느낌이에요.
scene-after-004,2,*,mid|high,analysis|highlight,버프,setup,없음,*,medium|long,repeat|spam,zero,*,*,이런 준비 턴은 지나가고 나서 더 크게 체감돼요. 방금은 조용했는데 다음 장면이 시작되면 왜 이 선택이 중요했는지 바로 보일 거예요.
scene-after-005,1,*,low,setup,*,*,*,*,short,fresh,*,*,*,분위기가 조금 바뀌었어요.
scene-after-006,2,전|결,high,highlight|climax,행동 제어,control,속박|지연,left|right,long,fresh|repeat|spam,small|medium|big,low|critical,*,특히 제어기가 이런 타이밍에 들어가면 체감이 훨씬 커요. 이미 조급한 쪽은 선택이 하나만 늦어도 그대로 끝까지 답답해지거든요.
scene-after-007,2,*,mid|high,analysis|highlight,회복,recovery,회복,right,medium|long,fresh|repeat,zero,low|critical,*,회복 뒤에 바로 역전이 나오진 않아도 의미는 분명해요. 최소한 지금 {{attacker_name}}은 다음 턴을 포기하지 않고 다시 계산할 수 있게 됐어요.
scene-after-008,2,전|결,high,highlight|climax,충전 공격,charge,지연|없음,left|right,long,fresh|repeat,medium|big,low|critical,*,이런 큰 기술은 맞은 순간보다 그 이후가 더 무거워요. 전장 전체가 한 번 멎었다가 다시 움직이는 느낌이라 다음 선택도 쉽게 안 나와요.
scene-after-009,1,승|전,mid|high,transition|highlight,연타,multi-hit,없음,left|right,long,repeat|spam,medium|big,mid|low,*,같은 리듬이 계속 이어질수록 상대는 더 조급해져요. 한번 틀어진 호흡을 바로 못 고치면 작은 손해가 연속 손해로 커지기 쉬운 구간이거든요.
scene-after-010,1,*,mid|high,analysis|highlight,보호막,setup,보호,*,medium|long,repeat|spam,zero,*,*,버티는 턴은 재미없어 보일 수 있는데 실제 승부에선 이런 장면이 꽤 커요. 지금 세운 벽 하나가 다음 공격 한 번을 아예 다른 계산으로 바꿔 버릴 수 있거든요.
scene-after-011,1,*,mid,transition,*,utility,없음|보호|회복,*,medium,fresh|repeat,zero|small,*,*,겉으로는 조용한데 전장 해석은 바뀌었어요. 이제부터는 누가 더 편하게 다음 수를 고를 수 있는지가 핵심이에요.
scene-after-012,1,결,high,climax,단일 공격|연타,strike|multi-hit,없음,left|right,long,repeat|spam,big,critical,*,여기까지 오면 모두가 알아요. 다음 한 번은 그냥 공격이 아니라 끝을 정하는 문장처럼 읽힐 수 있다는 걸요.
scene-after-013,1,승|전|결,high,highlight|climax,보호막,setup,보호,*,medium|long,fresh|repeat,zero,mid|high,*,지금 세운 방어선은 단순 버티기가 아니에요. 다음 교환에서 상대가 같은 방식으로 들어오면 손익이 전혀 다르게 계산될 가능성이 커졌어요.
